vote_2020,gender,census_region,education,state,age,vote_trump,sex,educd,statefip,vote_biden,sex1
Someone else,Male,Midwest,Masters degree,IL,40,0,1,Masters degree,IL,0,1
Joe Biden,Female,Northeast,Masters degree,NY,63,0,0,Masters degree,NY,1,2
Joe Biden,Female,West,Associate Degree,WA,63,0,0,Associate Degree,WA,1,2
Joe Biden,Female,Midwest,"Completed some college, but no degree",MI,38,0,0,"Completed some college, but no degree",MI,1,2
I am not sure/don't know,Female,South,High school graduate,SC,75,0,0,High school graduate,SC,0,2
Joe Biden,Female,Midwest,Other post high school vocational training,OH,45,0,0,Other post high school vocational training,OH,1,2
Donald Trump,Female,Midwest,High school graduate,IL,30,1,0,High school graduate,IL,0,2
Joe Biden,Female,Northeast,High school graduate,MA,66,0,0,High school graduate,MA,1,2
Joe Biden,Female,Midwest,Masters degree,MO,40,0,0,Masters degree,MO,1,2
Joe Biden,Female,West,Masters degree,CO,49,0,0,Masters degree,CO,1,2
Donald Trump,Female,Midwest,"Completed some college, but no degree",IL,57,1,0,"Completed some college, but no degree",IL,0,2
Someone else,Female,South,Other post high school vocational training,NC,59,0,0,Other post high school vocational training,NC,0,2
Donald Trump,Female,South,"College Degree (such as B.A., B.S.)",NC,60,1,0,"College Degree (such as B.A., B.S.)",NC,0,2
Joe Biden,Female,Northeast,Masters degree,NY,68,0,0,Masters degree,NY,1,2
Donald Trump,Female,Midwest,High school graduate,IN,58,1,0,High school graduate,IN,0,2
Joe Biden,Female,West,"College Degree (such as B.A., B.S.)",CA,33,0,0,"College Degree (such as B.A., B.S.)",CA,1,2
Donald Trump,Female,South,"Completed some college, but no degree",FL,26,1,0,"Completed some college, but no degree",FL,0,2
I am not sure/don't know,Female,South,High school graduate,FL,22,0,0,High school graduate,FL,0,2
Donald Trump,Female,Northeast,"Completed some college, but no degree",PA,76,1,0,"Completed some college, but no degree",PA,0,2
Donald Trump,Female,South,Other post high school vocational training,SC,38,1,0,Other post high school vocational training,SC,0,2
Donald Trump,Female,Midwest,Masters degree,IL,53,1,0,Masters degree,IL,0,2
I am not sure/don't know,Female,Northeast,"Completed some college, but no degree",PA,19,0,0,"Completed some college, but no degree",PA,0,2
Joe Biden,Female,Midwest,"Completed some college, but no degree",OH,64,0,0,"Completed some college, but no degree",OH,1,2
Donald Trump,Male,Northeast,Masters degree,NY,49,1,1,Masters degree,NY,0,1
Donald Trump,Male,Midwest,"Completed some college, but no degree",IA,66,1,1,"Completed some college, but no degree",IA,0,1
Donald Trump,Female,Midwest,Masters degree,WI,56,1,0,Masters degree,WI,0,2
Joe Biden,Female,Northeast,"College Degree (such as B.A., B.S.)",CT,26,0,0,"College Degree (such as B.A., B.S.)",CT,1,2
Donald Trump,Female,Northeast,High school graduate,PA,58,1,0,High school graduate,PA,0,2
Joe Biden,Female,Northeast,"Completed some graduate, but no degree",NJ,72,0,0,"Completed some graduate, but no degree",NJ,1,2
Joe Biden,Female,South,Masters degree,DC,36,0,0,Masters degree,DC,1,2
Joe Biden,Male,Northeast,Masters degree,PA,70,0,1,Masters degree,PA,1,1
Donald Trump,Male,South,Associate Degree,GA,25,1,1,Associate Degree,GA,0,1
Joe Biden,Female,Northeast,Masters degree,NY,40,0,0,Masters degree,NY,1,2
Donald Trump,Male,South,Masters degree,FL,42,1,1,Masters degree,FL,0,1
Joe Biden,Male,South,Completed some high school,FL,26,0,1,Completed some high school,FL,1,1
Joe Biden,Male,Northeast,"Completed some college, but no degree",NY,45,0,1,"Completed some college, but no degree",NY,1,1
Donald Trump,Female,South,Associate Degree,GA,57,1,0,Associate Degree,GA,0,2
Donald Trump,Female,Midwest,"Completed some college, but no degree",IL,55,1,0,"Completed some college, but no degree",IL,0,2
Joe Biden,Male,West,"Completed some college, but no degree",NM,70,0,1,"Completed some college, but no degree",NM,1,1
Joe Biden,Female,South,"College Degree (such as B.A., B.S.)",TN,55,0,0,"College Degree (such as B.A., B.S.)",TN,1,2
Joe Biden,Female,West,"College Degree (such as B.A., B.S.)",CA,46,0,0,"College Degree (such as B.A., B.S.)",CA,1,2
Donald Trump,Female,South,"College Degree (such as B.A., B.S.)",NC,32,1,0,"College Degree (such as B.A., B.S.)",NC,0,2
Donald Trump,Female,South,"Completed some college, but no degree",VA,66,1,0,"Completed some college, but no degree",VA,0,2
Donald Trump,Male,Midwest,"College Degree (such as B.A., B.S.)",MN,35,1,1,"College Degree (such as B.A., B.S.)",MN,0,1
Donald Trump,Male,Midwest,Associate Degree,WI,71,1,1,Associate Degree,WI,0,1
I am not sure/don't know,Male,West,"Completed some college, but no degree",AZ,34,0,1,"Completed some college, but no degree",AZ,0,1
Joe Biden,Female,Northeast,Masters degree,PA,37,0,0,Masters degree,PA,1,2
Joe Biden,Female,South,"Completed some college, but no degree",OK,27,0,0,"Completed some college, but no degree",OK,1,2
Donald Trump,Female,Midwest,Masters degree,IL,61,1,0,Masters degree,IL,0,2
Donald Trump,Male,South,Masters degree,FL,47,1,1,Masters degree,FL,0,1
Joe Biden,Female,South,Doctorate degree,DC,69,0,0,Doctorate degree,DC,1,2
Donald Trump,Female,South,Doctorate degree,TX,45,1,0,Doctorate degree,TX,0,2
Donald Trump,Female,Midwest,"College Degree (such as B.A., B.S.)",IN,26,1,0,"College Degree (such as B.A., B.S.)",IN,0,2
Donald Trump,Male,Midwest,"College Degree (such as B.A., B.S.)",OH,53,1,1,"College Degree (such as B.A., B.S.)",OH,0,1
I would not vote,Male,Midwest,High school graduate,OH,20,0,1,High school graduate,OH,0,1
Joe Biden,Male,West,Associate Degree,AZ,65,0,1,Associate Degree,AZ,1,1
Donald Trump,Female,Northeast,"College Degree (such as B.A., B.S.)",NJ,50,1,0,"College Degree (such as B.A., B.S.)",NJ,0,2
Joe Biden,Male,West,"Completed some college, but no degree",CO,67,0,1,"Completed some college, but no degree",CO,1,1
I am not sure/don't know,Female,Northeast,Associate Degree,MA,68,0,0,Associate Degree,MA,0,2
Joe Biden,Male,Northeast,Masters degree,PA,55,0,1,Masters degree,PA,1,1
Joe Biden,Female,Midwest,"Completed some college, but no degree",OH,48,0,0,"Completed some college, but no degree",OH,1,2
I would not vote,Female,South,High school graduate,NC,18,0,0,High school graduate,NC,0,2
Joe Biden,Male,West,Associate Degree,HI,68,0,1,Associate Degree,HI,1,1
Joe Biden,Male,Northeast,Masters degree,CT,57,0,1,Masters degree,CT,1,1
Joe Biden,Female,South,Masters degree,FL,32,0,0,Masters degree,FL,1,2
Joe Biden,Female,Midwest,"College Degree (such as B.A., B.S.)",IL,60,0,0,"College Degree (such as B.A., B.S.)",IL,1,2
Joe Biden,Male,Midwest,"College Degree (such as B.A., B.S.)",WI,65,0,1,"College Degree (such as B.A., B.S.)",WI,1,1
Joe Biden,Female,Northeast,Associate Degree,NJ,67,0,0,Associate Degree,NJ,1,2
Donald Trump,Female,South,Other post high school vocational training,TX,52,1,0,Other post high school vocational training,TX,0,2
Donald Trump,Male,South,Associate Degree,TX,73,1,1,Associate Degree,TX,0,1
Someone else,Female,Midwest,Masters degree,IN,79,0,0,Masters degree,IN,0,2
Donald Trump,Male,West,Masters degree,MT,81,1,1,Masters degree,MT,0,1
Joe Biden,Female,Northeast,"Completed some college, but no degree",PA,66,0,0,"Completed some college, but no degree",PA,1,2
I would not vote,Female,South,Associate Degree,TX,55,0,0,Associate Degree,TX,0,2
Joe Biden,Female,West,"College Degree (such as B.A., B.S.)",CA,38,0,0,"College Degree (such as B.A., B.S.)",CA,1,2
I am not sure/don't know,Male,West,"College Degree (such as B.A., B.S.)",CA,69,0,1,"College Degree (such as B.A., B.S.)",CA,0,1
Donald Trump,Female,South,"Completed some college, but no degree",TX,62,1,0,"Completed some college, but no degree",TX,0,2
Donald Trump,Male,West,"College Degree (such as B.A., B.S.)",CA,81,1,1,"College Degree (such as B.A., B.S.)",CA,0,1
Donald Trump,Female,South,"Completed some college, but no degree",TN,65,1,0,"Completed some college, but no degree",TN,0,2
Joe Biden,Female,South,"Completed some college, but no degree",NC,62,0,0,"Completed some college, but no degree",NC,1,2
Donald Trump,Female,Northeast,High school graduate,PA,21,1,0,High school graduate,PA,0,2
Joe Biden,Female,Northeast,Associate Degree,CT,44,0,0,Associate Degree,CT,1,2
Donald Trump,Female,South,Doctorate degree,TN,33,1,0,Doctorate degree,TN,0,2
Joe Biden,Female,South,High school graduate,TX,63,0,0,High school graduate,TX,1,2
Donald Trump,Female,Northeast,"Completed some college, but no degree",NJ,52,1,0,"Completed some college, but no degree",NJ,0,2
I am not sure/don't know,Male,Northeast,High school graduate,PA,27,0,1,High school graduate,PA,0,1
I am not sure/don't know,Female,Northeast,"College Degree (such as B.A., B.S.)",NJ,66,0,0,"College Degree (such as B.A., B.S.)",NJ,0,2
Donald Trump,Female,South,"College Degree (such as B.A., B.S.)",TN,58,1,0,"College Degree (such as B.A., B.S.)",TN,0,2
Joe Biden,Female,Midwest,"Completed some college, but no degree",IL,60,0,0,"Completed some college, but no degree",IL,1,2
Donald Trump,Female,West,Masters degree,OR,29,1,0,Masters degree,OR,0,2
Joe Biden,Male,West,"Completed some college, but no degree",CA,28,0,1,"Completed some college, but no degree",CA,1,1
Joe Biden,Female,Northeast,High school graduate,CT,40,0,0,High school graduate,CT,1,2
Joe Biden,Female,Midwest,"Completed some college, but no degree",WI,61,0,0,"Completed some college, but no degree",WI,1,2
Donald Trump,Female,Northeast,"College Degree (such as B.A., B.S.)",MA,76,1,0,"College Degree (such as B.A., B.S.)",MA,0,2
Joe Biden,Female,South,"College Degree (such as B.A., B.S.)",FL,37,0,0,"College Degree (such as B.A., B.S.)",FL,1,2
Joe Biden,Male,West,High school graduate,NV,20,0,1,High school graduate,NV,1,1
Joe Biden,Female,Northeast,"Completed some college, but no degree",VT,67,0,0,"Completed some college, but no degree",VT,1,2
Joe Biden,Male,Northeast,"College Degree (such as B.A., B.S.)",NY,28,0,1,"College Degree (such as B.A., B.S.)",NY,1,1
I am not sure/don't know,Female,Northeast,"College Degree (such as B.A., B.S.)",NJ,53,0,0,"College Degree (such as B.A., B.S.)",NJ,0,2
Donald Trump,Male,Northeast,"College Degree (such as B.A., B.S.)",PA,30,1,1,"College Degree (such as B.A., B.S.)",PA,0,1
Donald Trump,Female,South,High school graduate,KY,28,1,0,High school graduate,KY,0,2
Donald Trump,Female,South,"Completed some college, but no degree",MD,62,1,0,"Completed some college, but no degree",MD,0,2
I am not sure/don't know,Female,Midwest,Associate Degree,IL,61,0,0,Associate Degree,IL,0,2
Joe Biden,Male,Midwest,Other post high school vocational training,IL,33,0,1,Other post high school vocational training,IL,1,1
Joe Biden,Female,Midwest,Masters degree,MO,68,0,0,Masters degree,MO,1,2
Donald Trump,Female,South,Masters degree,FL,52,1,0,Masters degree,FL,0,2
Donald Trump,Female,West,"College Degree (such as B.A., B.S.)",CA,39,1,0,"College Degree (such as B.A., B.S.)",CA,0,2
Joe Biden,Female,West,"Completed some college, but no degree",MT,73,0,0,"Completed some college, but no degree",MT,1,2
Joe Biden,Female,Midwest,Completed some high school,WI,38,0,0,Completed some high school,WI,1,2
Joe Biden,Male,South,High school graduate,SC,50,0,1,High school graduate,SC,1,1
Donald Trump,Female,Midwest,"Completed some graduate, but no degree",IL,61,1,0,"Completed some graduate, but no degree",IL,0,2
Joe Biden,Female,Midwest,"Completed some college, but no degree",MO,63,0,0,"Completed some college, but no degree",MO,1,2
Donald Trump,Female,South,"Completed some college, but no degree",TX,67,1,0,"Completed some college, but no degree",TX,0,2
Someone else,Male,Midwest,"College Degree (such as B.A., B.S.)",MO,35,0,1,"College Degree (such as B.A., B.S.)",MO,0,1
Donald Trump,Female,Midwest,"College Degree (such as B.A., B.S.)",OH,60,1,0,"College Degree (such as B.A., B.S.)",OH,0,2
Joe Biden,Male,South,"Completed some college, but no degree",TN,52,0,1,"Completed some college, but no degree",TN,1,1
Joe Biden,Female,West,Associate Degree,UT,25,0,0,Associate Degree,UT,1,2
Joe Biden,Male,Midwest,Associate Degree,MN,44,0,1,Associate Degree,MN,1,1
Joe Biden,Female,Northeast,"College Degree (such as B.A., B.S.)",NJ,69,0,0,"College Degree (such as B.A., B.S.)",NJ,1,2
I would not vote,Male,West,Other post high school vocational training,CO,26,0,1,Other post high school vocational training,CO,0,1
Joe Biden,Female,South,"College Degree (such as B.A., B.S.)",SC,74,0,0,"College Degree (such as B.A., B.S.)",SC,1,2
Donald Trump,Female,South,Associate Degree,GA,65,1,0,Associate Degree,GA,0,2
Joe Biden,Female,West,Masters degree,CA,39,0,0,Masters degree,CA,1,2
Donald Trump,Female,South,"College Degree (such as B.A., B.S.)",VA,50,1,0,"College Degree (such as B.A., B.S.)",VA,0,2
Donald Trump,Female,South,High school graduate,WV,68,1,0,High school graduate,WV,0,2
Joe Biden,Male,South,"Completed some college, but no degree",FL,18,0,1,"Completed some college, but no degree",FL,1,1
Donald Trump,Female,Midwest,"College Degree (such as B.A., B.S.)",MI,55,1,0,"College Degree (such as B.A., B.S.)",MI,0,2
I would not vote,Female,Midwest,High school graduate,IL,51,0,0,High school graduate,IL,0,2
Donald Trump,Female,Midwest,"College Degree (such as B.A., B.S.)",NE,56,1,0,"College Degree (such as B.A., B.S.)",NE,0,2
Donald Trump,Female,Midwest,Other post high school vocational training,MI,51,1,0,Other post high school vocational training,MI,0,2
Donald Trump,Female,West,Completed some high school,UT,24,1,0,Completed some high school,UT,0,2
Donald Trump,Female,South,"Completed some graduate, but no degree",FL,68,1,0,"Completed some graduate, but no degree",FL,0,2
I would not vote,Female,West,High school graduate,OR,28,0,0,High school graduate,OR,0,2
Donald Trump,Female,South,High school graduate,NC,27,1,0,High school graduate,NC,0,2
Joe Biden,Female,West,Associate Degree,AZ,62,0,0,Associate Degree,AZ,1,2
Donald Trump,Female,South,High school graduate,TN,73,1,0,High school graduate,TN,0,2
Joe Biden,Male,Northeast,"College Degree (such as B.A., B.S.)",MA,55,0,1,"College Degree (such as B.A., B.S.)",MA,1,1
Donald Trump,Female,Midwest,"Completed some college, but no degree",IL,58,1,0,"Completed some college, but no degree",IL,0,2
Someone else,Male,Midwest,Masters degree,IN,34,0,1,Masters degree,IN,0,1
Joe Biden,Female,West,"College Degree (such as B.A., B.S.)",CA,66,0,0,"College Degree (such as B.A., B.S.)",CA,1,2
I am not sure/don't know,Male,South,"Completed some college, but no degree",TX,30,0,1,"Completed some college, but no degree",TX,0,1
I am not sure/don't know,Female,South,Doctorate degree,TX,31,0,0,Doctorate degree,TX,0,2
Joe Biden,Female,Northeast,High school graduate,NY,74,0,0,High school graduate,NY,1,2
Donald Trump,Male,West,High school graduate,CO,33,1,1,High school graduate,CO,0,1
Joe Biden,Female,West,"College Degree (such as B.A., B.S.)",HI,37,0,0,"College Degree (such as B.A., B.S.)",HI,1,2
I am not sure/don't know,Male,West,Completed some high school,CA,55,0,1,Completed some high school,CA,0,1
I would not vote,Male,West,Doctorate degree,CA,23,0,1,Doctorate degree,CA,0,1
Joe Biden,Female,West,Masters degree,CA,63,0,0,Masters degree,CA,1,2
Donald Trump,Male,West,"College Degree (such as B.A., B.S.)",CA,41,1,1,"College Degree (such as B.A., B.S.)",CA,0,1
Donald Trump,Female,Northeast,"Completed some college, but no degree",NY,54,1,0,"Completed some college, but no degree",NY,0,2
I would not vote,Female,West,Other post high school vocational training,WA,32,0,0,Other post high school vocational training,WA,0,2
Joe Biden,Male,South,"Completed some college, but no degree",DC,41,0,1,"Completed some college, but no degree",DC,1,1
Joe Biden,Female,South,Masters degree,FL,73,0,0,Masters degree,FL,1,2
Donald Trump,Male,South,Masters degree,TX,44,1,1,Masters degree,TX,0,1
Joe Biden,Female,Midwest,High school graduate,IN,28,0,0,High school graduate,IN,1,2
Donald Trump,Male,Northeast,Masters degree,NY,44,1,1,Masters degree,NY,0,1
Donald Trump,Male,South,Associate Degree,GA,40,1,1,Associate Degree,GA,0,1
Joe Biden,Male,Northeast,High school graduate,NY,23,0,1,High school graduate,NY,1,1
Joe Biden,Female,Midwest,"College Degree (such as B.A., B.S.)",OH,32,0,0,"College Degree (such as B.A., B.S.)",OH,1,2
Joe Biden,Male,West,Doctorate degree,CO,39,0,1,Doctorate degree,CO,1,1
Donald Trump,Female,Midwest,Completed some high school,IL,28,1,0,Completed some high school,IL,0,2
Joe Biden,Male,Northeast,"College Degree (such as B.A., B.S.)",NJ,32,0,1,"College Degree (such as B.A., B.S.)",NJ,1,1
Joe Biden,Male,Midwest,High school graduate,IL,57,0,1,High school graduate,IL,1,1
Donald Trump,Male,Midwest,"College Degree (such as B.A., B.S.)",MN,32,1,1,"College Degree (such as B.A., B.S.)",MN,0,1
I am not sure/don't know,Male,South,Masters degree,GA,41,0,1,Masters degree,GA,0,1
Donald Trump,Female,Midwest,High school graduate,MO,54,1,0,High school graduate,MO,0,2
I would not vote,Male,Midwest,High school graduate,KS,24,0,1,High school graduate,KS,0,1
Donald Trump,Male,West,"College Degree (such as B.A., B.S.)",WA,19,1,1,"College Degree (such as B.A., B.S.)",WA,0,1
Joe Biden,Female,West,Masters degree,CA,42,0,0,Masters degree,CA,1,2
Joe Biden,Female,South,Completed some high school,TX,18,0,0,Completed some high school,TX,1,2
Joe Biden,Female,West,"Completed some college, but no degree",CA,18,0,0,"Completed some college, but no degree",CA,1,2
Donald Trump,Male,Northeast,"College Degree (such as B.A., B.S.)",PA,56,1,1,"College Degree (such as B.A., B.S.)",PA,0,1
Donald Trump,Male,West,Doctorate degree,CA,42,1,1,Doctorate degree,CA,0,1
Joe Biden,Male,West,Masters degree,AZ,70,0,1,Masters degree,AZ,1,1
Donald Trump,Male,Midwest,High school graduate,OH,19,1,1,High school graduate,OH,0,1
Joe Biden,Female,West,"College Degree (such as B.A., B.S.)",CA,48,0,0,"College Degree (such as B.A., B.S.)",CA,1,2
Joe Biden,Male,Midwest,Completed some high school,MO,40,0,1,Completed some high school,MO,1,1
Joe Biden,Male,Midwest,"Completed some college, but no degree",WI,57,0,1,"Completed some college, but no degree",WI,1,1
Donald Trump,Male,Northeast,"College Degree (such as B.A., B.S.)",NY,40,1,1,"College Degree (such as B.A., B.S.)",NY,0,1
I am not sure/don't know,Male,South,High school graduate,SC,58,0,1,High school graduate,SC,0,1
Donald Trump,Female,Midwest,"Completed some college, but no degree",WI,30,1,0,"Completed some college, but no degree",WI,0,2
Joe Biden,Male,Northeast,Masters degree,PA,38,0,1,Masters degree,PA,1,1
Joe Biden,Male,Northeast,High school graduate,NY,27,0,1,High school graduate,NY,1,1
I would not vote,Female,Midwest,High school graduate,OH,26,0,0,High school graduate,OH,0,2
Joe Biden,Female,Midwest,"College Degree (such as B.A., B.S.)",MN,38,0,0,"College Degree (such as B.A., B.S.)",MN,1,2
I am not sure/don't know,Male,West,High school graduate,NM,19,0,1,High school graduate,NM,0,1
I am not sure/don't know,Male,Midwest,Completed some high school,OH,42,0,1,Completed some high school,OH,0,1
Joe Biden,Male,Northeast,"College Degree (such as B.A., B.S.)",NH,34,0,1,"College Degree (such as B.A., B.S.)",NH,1,1
